id,title,duration,genres,year,countries,press rating,spectator rating,actors,directors,poster
110655,Le Coeur des hommes 2,115,[13002],2007,['France'],2.5,3.0,"[18856, 2349, 8402, 16472, 3037, 25938, 17615, 11217, 2315, 13775, 96106, 1554, 39536, 43358, 95898, 202194, 155726, 141361, 138639, 202222, 202224, 146020, 408679, 95990, 89360, 95909, 95952, 95877, 202218, 202219, 202220, 202225, 202227]",[83413],https://fr.web.img3.acsta.net/medias/nmedia/18/63/78/18/18835891.jpg
169,Le Dernier métro,133,"[13008, 13024, 13014]",1980,['France'],3.4,4.0,"[191, 630, 631, 632, 184, 722, 5053, 2592, 3816, 101, 66061, 1578, 2757, 4116, 17524, 22581, 79117, 21446, 41439, 437698, 150553, 402945, 476111, 462243, 462578, 453442]",[629],https://fr.web.img3.acsta.net/pictures/14/07/25/15/42/369952.jpg
36284,Wasabi - La petite moutarde qui monte au nez,95,"[13025, 13005]",2001,"['Japon', 'France']",3.0,2.4,"[1659, 17581, 66295, 3914, 45734, 14554, 18170, 12327, 38934, 40407, 50694, 72061, 549518, 166412, 22083, 50598, 102774, 200888, 408037, 408038, 408039, 408042, 408043, 408044, 408045, 408046, 408047, 249755, 408041]",[6427],https://fr.web.img5.acsta.net/medias/nmedia/00/02/31/95/was.jpg
311444,L’Histoire de Souleymane,93,[13008],2024,['France'],4.1,4.2,"[32807, 1011028, 1027372, 1027373, 1027374, 1011030, 1011033, 1011031, 1027376, 956320, 1000002768, 1000002769, 1000002770, 1000002771, 1000002772, 1000002773, 1000002774, 171205, 974647]",[171205],https://fr.web.img6.acsta.net/img/31/e8/31e8fa05a5d035cbc0d2dd3f88d78c6b.jpg
48422,Le Coeur des hommes,107,"[13002, 13024]",2003,['France'],3.3,3.4,"[2349, 8402, 18856, 16472, 3037, 2315, 25938, 17615, 11217, 96047, 39536, 70732, 55636, 89360, 95952, 95909]",[83413],https://fr.web.img5.acsta.net/medias/nmedia/18/35/06/68/affiche.jpg
269838,The Brutalist,214,[13008],2025,"['Grande-Bretagne', 'U.S.A.', 'Hongrie']",4.4,4.0,"[22426, 194500, 20176, 724708, 575391, 647368, 932075, 4622, 19036, 461879, 20423, 164517, 743915, 914339, 236822, 178916, 214265, 43132, 1000032656, 94763, 1000014882, 1000032657, 1000032658, 1000014883, 1016732]",[88526],https://fr.web.img6.acsta.net/img/22/ab/22ab82f07f1f92122491ae6c19210277.jpg
175305,Le Discours d'un roi,118,"[13027, 13008, 13015]",2011,['Grande-Bretagne'],4.1,4.3,"[12024, 5894, 1794, 21360, 26078, 6233, 20176, 11850, 231653, 51474, 492214, 492215, 433059, 492216, 492217, 484815, 492218, 492219, 178089, 492220, 492221, 492222, 492223, 492224, 492225, 492226, 501736, 157085, 165627, 27050, 132102, 163466, 46304, 501737, 230160, 79883, 242322, 84552, 501738, 67704, 3651, 145777, 433247, 501739, 137567, 501740]",[135844],https://fr.web.img5.acsta.net/medias/nmedia/18/82/28/51/19634452.jpg
12475,American History X,119,"[13018, 13008]",1999,['U.S.A.'],2.9,4.5,"[21625, 7248, 3425, 5726, 12025, 21626, 765, 93578, 15246, 2345, 64939, 48581, 5067, 14764, 61886, 89215, 90774, 98252, 109939, 114677, 117765, 127586, 137800, 166261, 249414, 124989, 229384, 269003, 411375, 429578, 429579, 429580, 429581, 447616, 448734, 480922, 482512, 473631, 466657]",[21624],https://fr.web.img2.acsta.net/medias/03/26/20/032620_af.jpg
101286,Quatre mariages et un enterrement,117,"[13005, 13008, 13024]",1994,"['Grande-Bretagne', 'U.S.A.']",,3.8,"[7517, 757, 11488, 18390, 7519, 15005, 19038, 58128, 17786, 23205, 80156, 94249, 66104, 56959, 18389, 94248, 94250, 94251, 148856, 134180, 132978, 1335, 144328, 29377, 42615, 132290, 18838, 76460, 79436, 29288, 7726, 22854, 47128, 85402, 96275, 107264, 134253, 160923, 166963, 175525, 189368, 192593, 201268, 227673, 420490, 433757, 433762, 444107, 451239]",[1729],https://fr.web.img6.acsta.net/pictures/21/02/03/14/04/0742965.jpg
319578,Bénie soit Sixtine,98,[13008],2025,['France'],4.0,2.8,"[847463, 135253, 14742, 181223, 538478, 830361, 499955, 715151, 752053, 590100, 267145, 499476, 548917, 937685, 1000015613, 942751, 994283, 942486]",[83979],https://fr.web.img5.acsta.net/img/af/10/af10a63543ab3488f1db835fc59de4d1.jpg
50582,7 ans de mariage,97,[13005],2003,['France'],2.9,2.3,"[2374, 9213, 59624, 17425, 9765, 40393, 69583, 18065, 27896, 144100, 141089, 128924, 168845, 168846, 168848, 103251, 146020, 46557, 104325, 48899, 21350, 5123, 4004, 17648, 45398, 201931, 18855, 129836, 168840, 168841, 52580, 168842, 168844, 168847, 168849, 168837, 239512]",[18855],https://fr.web.img6.acsta.net/medias/nmedia/18/35/09/93/affiche.jpg
257482,Once Upon a Time… in Hollywood,161,"[13005, 13008]",2019,['U.S.A.'],4.2,3.9,"[12972, 12302, 403573, 83323, 646619, 33387, 761074, 214046, 71069, 4979, 472710, 37565, 69759, 1825, 23913, 698668, 746676, 558086, 672452, 100232, 425335, 225655, 780788, 60215, 814731, 820360, 441277, 403879, 903, 7455, 42695, 721416, 103817, 147891, 109781, 47787, 12581, 59817, 570295, 618122, 89809, 108334, 845943, 3466, 101506, 211522, 176010, 40084, 883777]",[15570],https://fr.web.img2.acsta.net/pictures/19/07/22/08/51/0719990.jpg
279637,Le Médium,80,"[13005, 13024]",2024,"['France', 'Suisse']",2.7,2.2,"[201721, 6099, 238646, 16047, 734334, 96032, 731861]",[731861],https://fr.web.img5.acsta.net/img/fd/ba/fdbad31094e5c03e3ed5baeb12ff3a2f.jpg
133392,Dune,156,"[13008, 13021]",2021,['U.S.A.'],4.0,4.3,"[525421, 599594, 147909, 105127, 1195, 422140, 3146, 16228, 218643, 20958, 178123, 232411, 512064, 1768, 196990, 246997, 58592, 33384, 146494, 474223, 631092, 855010, 229635, 51959, 596963, 941693, 871452]",[27087],https://fr.web.img6.acsta.net/pictures/21/08/10/12/20/4633954.jpg
59809,La Vengeance dans la peau,116,"[13025, 13022, 13023]",2007,"['U.S.A.', 'Allemagne']",3.7,4.1,"[1192, 6123, 15239, 33200, 112, 65575, 68, 99627, 93155, 132917, 42473, 95108, 161850, 199052, 152315, 126751, 209809, 168054, 113650, 125969, 137798, 181993, 208925, 122514, 431039, 440368, 47513, 199053, 199055, 397582, 424579, 424580, 467364, 815348]",[20136],https://fr.web.img6.acsta.net/medias/nmedia/18/63/34/23/18794863.jpg
290966,Citoyen d'honneur,96,"[13005, 13008]",2022,['France'],3.3,3.0,"[38439, 422394, 617692, 873398, 17703, 422513, 520247, 554832, 724901, 711867, 937011, 415935, 433631, 24871, 916091, 835440, 1012377]",[480873],https://fr.web.img5.acsta.net/pictures/22/07/04/11/04/5478802.jpg
267302,Police,99,"[13008, 13023]",2020,['France'],3.3,2.4,"[87127, 97635, 167254, 504030, 203530, 588899, 45718, 628591]",[8743],https://fr.web.img6.acsta.net/pictures/20/08/18/08/26/5562385.jpg
272061,Boutchou,78,[13005],2020,['France'],,1.8,"[3914, 2349, 4493, 22045, 269118, 154504, 21957, 5686, 237340, 616538, 766122, 539666, 146726]",[866930],https://fr.web.img5.acsta.net/pictures/20/09/02/14/43/2147523.jpg
251633,Deadpool &amp; Wolverine,127,"[13025, 13005, 13021]",2024,['U.S.A.'],3.3,3.6,"[74084, 33385, 870941, 104434, 717985, 567504, 140196, 126699, 712355, 56353, 729321, 73149, 61118, 41527, 549242, 70603, 13557, 81795, 88619, 126186, 250825, 24377, 216930, 628468, 165312, 965651, 229825, 959655]",[69741],https://fr.web.img5.acsta.net/img/e4/cd/e4cd101f2e66f4e7818fcf53d05c006a.jpg
245006,Deadpool 2,120,"[13025, 13001, 13005]",2018,['U.S.A.'],3.2,3.8,"[74084, 3146, 104434, 707301, 726862, 140196, 549242, 729321, 646618, 567504, 192355, 622206, 32396, 97529, 628468, 507300, 717985, 773664, 695316, 121007, 171002, 230693, 170042, 773526, 12302, 79356, 85120, 33385, 105198]",[60116],https://fr.web.img4.acsta.net/pictures/18/04/06/16/26/2317955.jpg
265940,Je suis toujours là,135,"[13008, 13023]",2025,"['Br\\u00e9sil', 'France']",4.3,4.3,"[19494, 19493, 50085, 670635, 149149, 562466, 569679, 727156, 221796, 212277, 668847, 562442, 223820, 695628, 512916, 570386, 517658, 668537, 815188, 578509, 589945, 847038, 871972, 819649, 1027556, 1000018586, 1000018585, 758848, 746718, 797336, 959453, 1000030111, 1000030112]",[6096],https://fr.web.img2.acsta.net/img/f1/a8/f1a878b912b2e9a130fc3263e521b0a2.jpg
53335,La Mort dans la peau,109,"[13025, 13022, 13023]",2004,['U.S.A.'],3.6,4.0,"[1192, 6123, 6405, 18840, 33200, 70288, 26818, 12734, 62825, 80775, 95108, 183834, 96348, 11702, 107568, 11703, 13797, 111326, 446292, 52916, 33739, 34275, 16641, 49022, 49108, 86482, 152419, 157689, 215001, 446288, 446289, 446294, 199447, 242953, 250415, 431339, 431341, 431346, 431348, 431351, 431718, 431720, 431721, 436931, 438039, 446290]",[20136],https://fr.web.img6.acsta.net/medias/nmedia/18/35/26/69/18386968.jpg
3942,Virgin suicides,97,[13008],2000,['U.S.A.'],4.4,3.9,"[9685, 5180, 236, 8766, 8801, 112, 237, 28985, 68415, 185213, 103776, 103777, 468193, 67670, 146303, 151344, 151353, 55635, 82928, 119888, 119894, 151354, 151355, 119895, 60341, 115220, 71582, 151363, 151364, 126143, 118583, 119824, 78167, 151367, 56301, 107901, 120242, 117191, 125995, 151369, 151370, 107867, 151371, 98581]",[9684],https://fr.web.img4.acsta.net/pictures/23/05/15/09/18/0979865.jpg
2651,Buffet Froid,90,"[13002, 13031]",1979,['France'],,3.9,"[630, 1831, 3108, 13210, 17420, 320, 3914, 5580, 11166, 31928, 78817, 1456]",[1114],https://fr.web.img3.acsta.net/pictures/23/04/14/09/40/5533712.jpg
304895,Conclave,120,[13023],2024,['Grande-Bretagne'],3.5,3.9,"[15280, 15495, 5010, 5293, 195970, 69153, 7069, 6119, 531810, 60934, 136437, 22927, 72262, 238581, 166782, 17086, 420524, 54293, 1000021844, 805385]",[262621],https://fr.web.img4.acsta.net/img/49/3b/493b675678d0a26dbcbd3c3982975af4.jpg
