id,title,duration,genres,year,countries,press rating,spectator rating,actors,directors,poster
220032,Winter Sleep,196,[13008],2014,"['Turquie', 'France', 'Allemagne']",3.8,3.9,"[26487, 181550, 213639, 530678, 436849, 191438, 524669, 266865, 503965, 684957]",[50756],https://fr.web.img2.acsta.net/pictures/14/08/29/10/07/204848.jpg
203302,La Vie d'Adèle - Chapitres 1 et 2,177,"[13008, 13024]",2013,['France'],4.6,3.6,"[149205, 160886, 29281, 625868, 144985, 14457, 181355, 520448, 218141, 404702, 625948, 39553, 441341, 512001, 580433, 662389, 635086, 96040, 625067, 208954]",[3208],https://fr.web.img5.acsta.net/pictures/210/359/21035935_20130903173858999.jpg
188067,Amour,127,[13008],2012,"['France', 'Allemagne', 'Autriche']",4.5,3.8,"[682, 2303, 947, 245157, 15683, 130524, 96188, 176642, 93748, 44055, 576525, 265973, 576526, 576527]",[14537],https://fr.web.img3.acsta.net/medias/nmedia/18/90/20/58/20121556.jpg
132244,The Tree of Life,138,"[13008, 13012]",2011,['U.S.A.'],3.6,2.9,"[12302, 117304, 6146, 519137, 40944, 12577, 81203, 467063, 46857, 519139, 519140, 519142, 220945, 136116, 519144, 519145, 519146, 117355, 219852, 519147, 502743, 519148, 430776, 519150, 519151, 519152, 519153, 443337, 519155, 430775, 103673, 519156, 61406, 171372, 207902, 140104, 463610, 170304, 448504, 188701]",[13904],https://fr.web.img6.acsta.net/medias/nmedia/18/83/22/48/19704053.jpg
180417,Oncle Boonmee (celui qui se souvient de ses vies antérieures),113,"[13005, 13008, 13012]",2010,"['France', 'Grande-Bretagne', 'Espagne', 'Tha\\u00eflande', 'Allemagne', 'Pays-Bas']",3.8,2.4,"[163683, 97189, 446965, 446966, 446967, 446968, 446969, 446970, 446971, 446972]",[34603],https://fr.web.img5.acsta.net/medias/nmedia/18/78/80/59/19479809.jpg
131948,Le Ruban blanc,144,[13008],2009,"['Autriche', 'Allemagne', 'France', 'Italie']",4.2,3.7,"[264006, 253, 264008, 22069, 264010, 264011, 201573, 71091, 264013, 264014, 264015, 264016, 264017, 264018, 20964, 28291, 71092, 182492, 264019, 253579, 264020, 264021, 264022, 264023, 22074, 73926, 264024, 264025, 264026, 264027, 264028, 264029, 264030, 25890, 264031, 264032, 199017, 253580, 264033, 34703, 258541, 261171, 261172, 428234, 430041, 430049, 430052, 430431, 470966]",[14537],https://fr.web.img3.acsta.net/medias/nmedia/18/70/32/34/19154502.jpg
58151,Entre les murs,128,[13008],2008,['France'],4.5,3.6,"[156094, 225556, 225563, 225548, 225543, 225544, 225545, 225546, 225547, 225549, 225550, 225551, 225552, 225553, 225554, 225555, 225557, 225558, 225559, 225560, 225561, 225562, 225564, 225565, 225566, 225598, 225599, 225600, 225601, 225602, 225603, 225604, 225605, 225606, 225607, 225608, 225609, 225610, 225611, 225612, 225613, 225614, 225615, 225616, 225617, 225618, 225619, 225620, 225621, 225622, 225623, 225624, 225626, 225627, 225628]",[18177],https://fr.web.img5.acsta.net/medias/nmedia/18/65/11/13/18957748.jpg
127944,"4 mois, 3 semaines, 2 jours",113,[13008],2007,"['Roumanie', 'Belgique']",4.4,3.8,"[192498, 192499, 148431, 26614, 193339, 193341, 62756, 80617, 199306, 199314, 236167, 192500, 192501, 151842, 193343, 193344, 193345, 193346, 193347, 193348, 193349, 193350, 173326, 193351, 199278, 199299, 199300, 199304, 199305, 199307, 199308, 199309, 199310, 199311, 199312, 199315, 199317]",[75342],https://fr.web.img4.acsta.net/medias/nmedia/18/64/28/63/18792120.jpg
110201,Le Vent se lève,124,"[13008, 13015, 13014]",2006,"['Grande-Bretagne', 'Espagne', 'Italie', 'Irlande', 'Allemagne']",3.8,2.9,"[69081, 148153, 13200, 11592, 75389, 143807, 151236, 163490, 143831, 27669, 163512, 188327, 220260, 153607, 153608, 151375, 151379, 153609, 163496, 163498, 163500, 163502, 163504, 163507, 163509, 220261, 437916, 453252, 466973, 470889, 482925]",[6440],https://fr.web.img3.acsta.net/medias/nmedia/18/60/12/26/18649232.jpg
59638,L'Enfant,95,[13008],2005,"['France', 'Belgique']",4.3,2.0,"[126847, 24248, 126825, 126831, 21316, 57666, 57641, 57643, 82725, 27321, 126826, 126833, 82728, 126835, 126839, 126840, 126841, 126845, 126846]","[8264, 8265]",https://fr.web.img2.acsta.net/medias/nmedia/18/35/79/89/18845899.jpg
